Pair,Num_Trades,Total_PnL,Avg_PnL
EHEALTH INC-DOUGLAS ELLIMAN INC,2,0.03160800552104881,0.015804002760524405
TERRITORIAL BANCORP INC-A C N B CORP,1,0.03148763730155202,0.03148763730155202
F S BANCORP INC-R B B BANCORP,1,0.02875354711420175,0.02875354711420175
B M TECHNOLOGIES INC-MATTERPORT INC,1,0.027647307839619106,0.027647307839619106
EURONET WORLDWIDE INC-WESTERN UNION CO,1,0.02345576948831285,0.02345576948831285
M & T BANK CORP-P J T PARTNERS INC,2,0.01728189786087797,0.008640948930438985
NASDAQ INC-CITIZENS CMNTY BANCORP INC MD,1,0.01713269387321681,0.01713269387321681
COLUMBIA BANKING SYSTEM INC-DIME COMMUNITY BANCSHRS INC NEW,2,0.012599002923555869,0.006299501461777934
B C B BANCORP INC-NORTHFIELD BANCORP INC DE,1,0.012526741339059733,0.012526741339059733
1ST SOURCE CORP-NORTHWEST BANCSHARES INC,1,0.0037260338945945826,0.0037260338945945826
MID PENN BANCORP INC-ORRSTOWN FINANCIAL SERVICES INC,1,0.003568482676939877,0.003568482676939877
CATHAY GENERAL BANCORP-BROOKLINE BANCORP INC,1,0.003310174387678888,0.003310174387678888
ARROW FINANCIAL CORP-H B T FINANCIAL INC,1,0.0015732635881324786,0.0015732635881324786
REVELATION BIOSCIENCES INC-TRUGOLF INC,0,0.0,0.0
UNITED SECURITY BANKSHARES-SR BANCORP INC,0,0.0,0.0
LESAKA TECHNOLOGIES INC-EQUITABLE HOLDINGS INC,0,0.0,0.0
REVELATION BIOSCIENCES INC-DEEP MEDICINE ACQUISITION CORP,0,0.0,0.0
AMERISAFE INC-HILLMAN SOLUTIONS CORP,0,0.0,0.0
COEPTIS THERAPEUTICS HOLDINGS IN-GREENIDGE GENERATION HLDGS INC,1,0.0,0.0
CIGNA GROUP-GUILD HOLDINGS CO,0,0.0,0.0
INCOME OPPORTUNITY RLTY INVS INC-FIRST SEACOAST BANCORP INC,0,0.0,0.0
HEARTLAND FINANCIAL USA INC-BANK7 CORP,0,0.0,0.0
ASSOCIATED CAPITAL GROUP INC-WESTERN ACQ VENTURES CORP,0,0.0,0.0
REVELATION BIOSCIENCES INC-TRUGOLF HOLDINGS INC,0,0.0,0.0
USIO INC-WILLSCOT HOLDINGS CORP,0,0.0,0.0
AFLAC INC-SOUND FINANCIAL BANCORP INC,0,0.0,0.0
BROWN & BROWN INC-MR COOPER GROUP INC,0,0.0,0.0
UTZ BRANDS INC-C F S B BANCORP INC,0,0.0,0.0
TRIUMPH FINANCIAL INC-RICHMOND MUTUAL BANCORP INC,0,0.0,0.0
INCYTE CORP-FRANKLIN FINANCIAL SERVICES CORP,0,0.0,0.0
AFFINITY BANCSHARES INC-HAGERTY INC,0,0.0,0.0
SAFETY INSURANCE GROUP INC-OPTIMUMBANK HOLDINGS INC,0,0.0,0.0
BROAD CAPITAL ACQUISITION CORP-QUETTA ACQUISITION CORP,0,0.0,0.0
PEOPLES BANCORP NC INC NEW-UNITED BANCORP INC OH,0,0.0,0.0
PHOENIX BIOTECH ACQ CORP-BENEFICIENT,0,0.0,0.0
CONNECTM TECHNOLOGY SOLUTIONS IN-THUNDER POWER HOLDINGS INC,0,0.0,0.0
EVERQUOTE INC-NUVATION BIO INC,0,0.0,0.0
ARROWROOT ACQUISITION CORP-GOLDEN ARROW MERGER CORP,0,0.0,0.0
